ticker,model_name,feature_set,split_scope,decision_threshold,threshold_tuned,validation_rows,validation_balanced_accuracy
AAPL,hist_gradient_boosting,price_only,final_test,0.5,False,0,
AAPL,hist_gradient_boosting,price_plus_selected_alt,final_test,0.5,False,0,
AAPL,logreg,price_only,final_test,0.5,False,0,
AAPL,logreg,price_plus_selected_alt,final_test,0.5,False,0,
AAPL,mlp_small,price_only,final_test,0.55,True,125,0.5973360655737705
AAPL,mlp_small,price_plus_selected_alt,final_test,0.63,True,125,0.5213883196721312
AAPL,random_forest,price_only,final_test,0.5,False,0,
AAPL,random_forest,price_plus_selected_alt,final_test,0.5,False,0,
AAPL,svm_rbf,price_only,final_test,0.52,True,125,0.5121670081967213
AAPL,svm_rbf,price_plus_selected_alt,final_test,0.48,True,125,0.5078125
TSLA,hist_gradient_boosting,price_only,final_test,0.5,False,0,
TSLA,hist_gradient_boosting,price_plus_selected_alt,final_test,0.5,False,0,
TSLA,logreg,price_only,final_test,0.5,False,0,
TSLA,logreg,price_plus_selected_alt,final_test,0.5,False,0,
TSLA,mlp_small,price_only,final_test,0.49,True,125,0.5503095975232198
TSLA,mlp_small,price_plus_selected_alt,final_test,0.68,True,125,0.5586945304437565
TSLA,random_forest,price_only,final_test,0.5,False,0,
TSLA,random_forest,price_plus_selected_alt,final_test,0.5,False,0,
TSLA,svm_rbf,price_only,final_test,0.51,True,125,0.5254127966976264
TSLA,svm_rbf,price_plus_selected_alt,final_test,0.3,True,125,0.5
